year,jurisdiction,dv_victims,cleared_victims,clearance_rate,related_offenders_total,related_offenders_female,related_offenders_male,related_offenders_unknown,related_offenders_male_share_known,related_offenders_female_share_known,victims_total_age_sex,victims_female,victims_male,victims_unknown,victims_female_share_known,victims_male_share_known
2016,boulder_county,794.00,628.00,79.09,796.00,204.00,592.00,0.00,0.743719,0.256281,794.00,589.00,205.00,0.00,0.741814,0.258186
2016,colorado,17532.00,13346.00,76.12,17534.00,4282.00,13248.00,4.00,0.755733,0.244267,17532.00,13315.00,4214.00,3.00,0.759598,0.240402
2017,boulder_county,710.00,515.00,72.54,710.00,181.00,529.00,0.00,0.745070,0.254930,710.00,536.00,174.00,0.00,0.754930,0.245070
2017,colorado,18395.00,13812.00,75.09,18371.00,4635.00,13731.00,5.00,0.747631,0.252369,18395.00,13812.00,4579.00,4.00,0.751020,0.248980
2018,boulder_county,880.00,658.00,74.77,882.00,231.00,651.00,0.00,0.738095,0.261905,880.00,644.00,236.00,0.00,0.731818,0.268182
2018,colorado,18819.00,13910.00,73.91,18815.00,4733.00,14081.00,1.00,0.748432,0.251568,18819.00,14177.00,4635.00,7.00,0.753615,0.246385
2019,boulder_county,780.00,553.00,70.90,781.00,201.00,580.00,0.00,0.742638,0.257362,780.00,582.00,198.00,0.00,0.746154,0.253846
2019,colorado,19208.00,13906.00,72.40,19226.00,4922.00,14299.00,5.00,0.743926,0.256074,19208.00,14365.00,4830.00,13.00,0.748372,0.251628
2020,boulder_county,864.00,586.00,67.82,868.00,219.00,648.00,1.00,0.747405,0.252595,864.00,649.00,215.00,0.00,0.751157,0.248843
2020,colorado,20411.00,14426.00,70.68,20410.00,5074.00,15332.00,4.00,0.751348,0.248652,20411.00,15438.00,4961.00,12.00,0.756802,0.243198
2021,boulder_county,937.00,595.00,63.50,937.00,246.00,691.00,0.00,0.737460,0.262540,937.00,695.00,242.00,0.00,0.741729,0.258271
2021,colorado,21156.00,13528.00,63.94,21171.00,5216.00,15945.00,10.00,0.753509,0.246491,21156.00,16086.00,5052.00,18.00,0.760999,0.239001
2022,boulder_county,868.00,518.00,59.68,879.00,218.00,661.00,0.00,0.751991,0.248009,868.00,648.00,218.00,2.00,0.748268,0.251732
2022,colorado,20954.00,14029.00,66.95,20972.00,5238.00,15719.00,15.00,0.750060,0.249940,20954.00,15848.00,5085.00,21.00,0.757082,0.242918
2023,boulder_county,940.00,562.00,59.79,938.00,242.00,695.00,1.00,0.741729,0.258271,940.00,701.00,237.00,2.00,0.747335,0.252665
2023,colorado,21116.00,14104.00,66.79,21104.00,5490.00,15604.00,10.00,0.739736,0.260264,21116.00,15734.00,5364.00,18.00,0.745758,0.254242
2024,boulder_county,822.00,487.00,59.25,831.00,210.00,621.00,0.00,0.747292,0.252708,822.00,625.00,193.00,4.00,0.764059,0.235941
2024,colorado,21303.00,14026.00,65.84,21293.00,5614.00,15670.00,9.00,0.736234,0.263766,21303.00,15753.00,5524.00,26.00,0.740377,0.259623
2025,boulder_county,416.00,275.00,66.11,415.00,115.00,300.00,0.00,0.722892,0.277108,416.00,302.00,114.00,0.00,0.725962,0.274038
2025,colorado,20466.00,13401.00,65.48,20474.00,5515.00,14955.00,4.00,0.730581,0.269419,20466.00,15105.00,5350.00,11.00,0.738450,0.261550
