dataset,source_hash,date,year,month,day_of_week,hour,agency_type,public_label,public_disposition,duration_minutes,screen_category,location_removed,confirmatory_use,case_status,description_category
calls,28fc0d60e1f85ce9fa82ea92,2026-05-27,2026,05,Wednesday,1,UCPD,FOOTC - Foot Patrol*,CC-Clear,18,not_screened_candidate,true,"CUPD public call-log context only; no party sex/gender, probable cause, relationship, arrest/referral linkage, or full-year stable denominator",,
calls,976c2f1b099fc893b57f84b7,2026-05-27,2026,05,Wednesday,1,UCPD,CAMPC - Camping/Camps,CC-Clear,1,not_screened_candidate,true,"CUPD public call-log context only; no party sex/gender, probable cause, relationship, arrest/referral linkage, or full-year stable denominator",,
calls,b8ea07c1de7eb874ce344ad8,2026-05-27,2026,05,Wednesday,1,UCPD,PECONC - Pedestrian Contact,CC-Clear,2,not_screened_candidate,true,"CUPD public call-log context only; no party sex/gender, probable cause, relationship, arrest/referral linkage, or full-year stable denominator",,
calls,a49f4143d9a85a810b86a3c1,2026-05-27,2026,05,Wednesday,1,UCPD,FOOTC - Foot Patrol*,CC-Clear,19,not_screened_candidate,true,"CUPD public call-log context only; no party sex/gender, probable cause, relationship, arrest/referral linkage, or full-year stable denominator",,
calls,2dc115fcc671abb758f9c68f,2026-05-27,2026,05,Wednesday,1,UCPD,CAMPC - Camping/Camps,EDC-Education,1,not_screened_candidate,true,"CUPD public call-log context only; no party sex/gender, probable cause, relationship, arrest/referral linkage, or full-year stable denominator",,
calls,aba8df4c25d122ccadab4fb7,2026-05-27,2026,05,Wednesday,2,UCPD,INFORC - Information,RC-Report,77,not_screened_candidate,true,"CUPD public call-log context only; no party sex/gender, probable cause, relationship, arrest/referral linkage, or full-year stable denominator",,
calls,8f49a770e1f66f3b8a6649cd,2026-05-27,2026,05,Wednesday,2,UCPD,DPC - Directed Patrol*,CC-Clear,19,not_screened_candidate,true,"CUPD public call-log context only; no party sex/gender, probable cause, relationship, arrest/referral linkage, or full-year stable denominator",,
calls,0993b06ffcc0bb3eff526937,2026-05-27,2026,05,Wednesday,3,UCPD,FOOTC - Foot Patrol*,CC-Clear,10,not_screened_candidate,true,"CUPD public call-log context only; no party sex/gender, probable cause, relationship, arrest/referral linkage, or full-year stable denominator",,
calls,312a6e92206bdb53b4cd166b,2026-05-27,2026,05,Wednesday,3,UCPD,FOOTC - Foot Patrol*,CC-Clear,12,not_screened_candidate,true,"CUPD public call-log context only; no party sex/gender, probable cause, relationship, arrest/referral linkage, or full-year stable denominator",,
calls,05b4f518f5df271ec342dfc8,2026-05-27,2026,05,Wednesday,3,UCPD,PECONC - Pedestrian Contact,CC-Clear,2,not_screened_candidate,true,"CUPD public call-log context only; no party sex/gender, probable cause, relationship, arrest/referral linkage, or full-year stable denominator",,
calls,b1e65a470f3d91ade828f4a5,2026-05-27,2026,05,Wednesday,3,UCPD,FOOTC - Foot Patrol*,CC-Clear,10,not_screened_candidate,true,"CUPD public call-log context only; no party sex/gender, probable cause, relationship, arrest/referral linkage, or full-year stable denominator",,
